ESTADO;CIDADE;x;y;TIPO;NOME;TEXTO
MINAS GERAIS;São Gabriel do Oeste;977,715;802,601;Cooperativa;ASCAMARE AL - ASSOCIAÇÃO DOS CATADORES E CATADORAS DE MATERIAIS RECICLÁVEIS SÃO JOSÉ;
SÃO PAULO;Manhumirim;813,694;882,891;Cooperativa;ASCAMARE ES - ASSOCIAÇÃO DOS CATADORES DE MATERIAIS RECICLÁVEIS DE VITÓRIA;
SÃO PAULO;Campinas;786,499;896,722;Cooperativa;ASCAMATO - ASSOCIAÇÃO DE CATADORES DE MATERIAIS RECICLÁVEIS DO MUNICÍPIO DE CMD;
SÃO PAULO;São Paulo;792,042;890,558;Cooperativa;ASCAMAVI - ASSOCIAÇÃO DE CATADORES DE MATERIAIS RECICLÁVEIS DO MUNICÍPIO DE VIANA;
RIO DE JANEIRO;São Paulo;922,769;869,83;Cooperativa;ASCAMPA - ASSOCIAÇÃO DOS CATADORES CATADORAS DE MATERIAIS RECICLÁVEIS DA REGIÃO CENTRO NORTE DE PALMAS;
RIO DE JANEIRO;Barra do Piraí;939,26;862,414;Cooperativa;ASCAP - ASSOCIAÇÃO DOS CATADORES DE PAPÉIS E MATERIAIS RECICLÁVEL DE NOVA LIMA;
RIO DE JANEIRO;Itaboraí;970,342;875,26;Cooperativa;ASCAPEL - ASSOCIAÇÃO DOS CATADORES DE PAPEL, PAPELÃO E MATERIAIS REAPROVEITAVEIS DE BETIM;
RIO DE JANEIRO;São Gonçalo;959,286;863,615;Cooperativa;ASCARA - ASSOCIAÇÃO DE CATADORES DE RESIDUOS SÓLIDOS DE ARAPIRACA;
DISTRITO FEDERAL;Brasília;789,157;663,425;Cooperativa;ASCARF - ASSOCIACAO DOS CATADORES DE RESIDUOS SOLIDOS RECICLANDO HOJE POR UM FUTURO MELHOR DE GOVERNADOR VALADARES;
SERGIPE;Nossa senhora do Socorro;1137,535;502,229;Cooperativa;ASCARI - ASSOCIAÇÃO DOS CATADORES DE MATERIAIS RECICLÁVEIS DE IPATINGA;
SÃO PAULO;Campinas;820,919;878,22;Cooperativa;ASCARMAN - ASSOCIAÇÃO DE CATADORES RECICLÁVEIS DO AMAZONAS;
SÃO PAULO;Santos;836,075;926,276;Cooperativa;ASCAT - COOPERATIVA DOS CATADORES DE MATERIAIS RECICLÁVEIS DA CAVALHADA;
MINAS GERAIS;Paracatu;833,564;699,319;Cooperativa;ASCAVAP - ASSOCIAÇÃO DOS CATADORES DE MATERIAIS RECICLÁVEIS DO VALE DO PARAOPEBA;
PARANÁ;Maringá;667,162;908,517;Cooperativa;ASCITO - ASSOCIAÇÃO DOS CATADORES DE MATERIAIS RECICLÁVEIS DE ITABIRITO;
BAHIA;Caetité;964,495;601,528;Cooperativa;ASCOB - ASSOCIAÇÃO DOS CATADORES DE MATERIAIS RECICLÁVEIS E REAPROVEITAVEIS DE OURO BRANCO;
SÃO PAULO;Colina;769,669;808,397;Cooperativa;ASCOL - ASSOCIACAO DOS CATADORES DE MATERIAIS RECICLAVEIS DE OLIVEIRA;
RIO GRANDE DO SUL;São Leopoldo;693,07;1103,958;Cooperativa;ASMARCOL - ASSOCIAÇÃO DOS CATADORES DE MATERIAIS RECICLÁVEIS DE CONSELHEIRO LAFAIETE;
DISTRITO FEDERAL;Brasília;792,631;667,214;Cooperativa;ASMARE - ASSOCIAÇÃO DOS CATADORES DE PAPEL, PAPELÃO E MATERIAIS REAPROVEITÁVEIS DE BELO HORIZONTE;
PARANÁ;Sarandi;680,394;913,941;Cooperativa;ASMAVI - ASSOCIAÇÃO DE CATADORES DE MATERIAIS RECICLÁVEIS NOVA VIDA;
SÃO PAULO;Diadema;816,69;933,948;Cooperativa;ASSCAVAG - ASSOCIAÇÃO DOS CATADORES DE MATERIAIS RECICLÁVEIS DE VÁRZEA GRANDE;
BAHIA;Juazeiro;1031,144;467,794;Cooperativa;ASSOBRAA - ASSOCIAÇÃO BRASILANDENSE DE AGENTES AMBIENTAIS;
SÃO PAULO;São Paulo;813,603;929,129;Cooperativa;ASSOCIAÇÃO 28 - ASSOCIAÇÃO VINTE E OITO COMUNIDADE ESPERANÇA;
BAHIA;Salvador;1082,246;536,331;Cooperativa;ASSOCIAÇÃO ACORDO VERDE JARDIM CIDADE UNIVERSITÁRIA;
BAHIA;Jequié;1038,603;607,247;Cooperativa;ASSOCIACAO DE CATADORES COMUNIDADE UNIDA - ASSOCIAÇÃO DE CATADORES DE MATERIAIS RECICLÁVEIS COMUNIDADE UNIDA DE FAZENDA RIO GRANDE;
SÃO PAULO;São Paulo;845,165;910,367;Cooperativa;ASSOCIAÇÃO DE CATADORES E CATADORAS DE MATERIAIS RECICLÁVEIS DE JOÃO PESSOA;
SÃO PAULO;Paulínia;801,891;882,496;Cooperativa;ASSOCIACAO DOS CATADORES DE MATERIAIS RECICLAVEIS DE IMPERATRIZ;
BAHIA;Salvador;1053,554;559,291;Cooperativa;ASSOCIAÇÃO DOS CATADORES DE MATERIAIS RECICLÁVEIS E ECONOMIA SOLIDARIA DO MUNICÍPIO DA SERRA;
RIO DE JANEIRO;Duque de Caxias;939,26;871,68;Cooperativa;ASSOCIAÇÃO DOS CATADORES DE MATERIAIS RECICLÁVEIS TAXI;
DISTRITO FEDERAL;Brasília;817,078;665,728;Cooperativa;ASSOCIAÇÃO ECO FRANK - ASSOCIAÇÃO DE CATADORES DE MATÉRIAS RECICLÁVEIS ECO FRANK;
PARANÁ;Maringá;693,738;892,629;Cooperativa;ASSOCIAÇÃO SÃO JUDAS - ASSOCIAÇÃO BENEFICENTE E COMUNIT. SÃO JUDAS DO BOM VIVER;
PARANÁ;Maringá;678,672;889,404;Cooperativa;ASSOCIAÇÃO VIVA A VIDA;
MINAS GERAIS;Belo Horizonte;899,292;762,196;Cooperativa;ASSOCIRECICLE - ASSOCIAÇÃO DOS RECICLADORES DE BELO HORIZONTE;
MATO GROSSO;Tangará da Serra;502,474;610,304;Cooperativa;ASSOTAIAMAN;
PARANÁ;União da Vitória;695,714;977,478;Cooperativa;CAELF - COOPERATIVA DE CATADORES E AGENTES ECOLÓGICOS DE LAURO DE FREITAS;
MINAS GERAIS;Uberaba;800,873;782,546;Cooperativa;CAMAPET - COOPERATIVA DE COLETA SELETIVA, PROCESSAMENTO DE PLÁSTICO E PROTEÇÃO AMBIENTAL;
MATO GROSSO DO SUL;Campo Grande;595,049;816,672;Cooperativa;CAMAR - ASSOCIAÇÃO DE CATADORES DE MATERIAL RECICLÁVEL DE MARIANA;
PARANÁ;Maringá;664,742;894,59;Cooperativa;CATA NORTE - COOPERATIVA RONDONIENSE DE CATADORES E CATADORAS DE MATERIAIS RECICLAVEIS;
RIO GRANDE DO SUL;São Leopoldo;689,82;1088,555;Cooperativa;CATAGUAR - ASSOCIACAO DOS CATADORES DE PAPEL PAPELAO E MATERIAIS RECICLAVEIS DO GUARA;
MINAS GERAIS;Belo Horizonte;886,542;771,204;Cooperativa;CATAJAMPA - ASSOCIAÇÃO DOS CATADORES E CATADORAS DE MATERIAIS REUTILIZÁVEIS E RECICLÁVEIS DE JOÃO PESSOA;
RIO DE JANEIRO;Duque de Caxias;951,637;870,423;Cooperativa;CATAMAIS - CATAMAIS COOPERATIVA DE CATADORES E CATADORAS DE MATERIAIS RECICLAVEIS DE CAMPINA GRANDE LTDA;
ALAGOAS;Marechal Deodoro;1157,914;483,768;Cooperativa;CATAMARB - COOPERATIVA DE CATADORES DE MATERIAIS RECICLÁVEIS DE BRUMADO;
RIO DE JANEIRO;Rio de Janeiro;950,607;887,021;Cooperativa;CATAMARE - COOPERATIVA DE CATADORES E CATADORAS DE MATERIAIS RECICLÁVEIS DE CURITIBA E REGIÃO METROPOLITANA;
ALAGOAS;Maceió;1172,03;470,382;Cooperativa;CATANDO A VIDA - COOPERATIVA DE CATADORES CATANDO A VIDA LTDA;
PARÁ;Santarém;597,324;231,657;Cooperativa;CATAPARANA - COOPERATIVA DE TRABALHO, SOLIDARIA E POPULAR - REDE DE TRANSFORMACAO E BENEFICIAMENTO DE MATERIAIS RECICLAVEIS;
SERGIPE;Itabaiana;1114,052;490,955;Cooperativa;CATAUNIDOS - COOPERATIVA DE RECICLAGEM DOS CATADORES DA REDE ECONOMIA SOLIDÁRIA - CATAUNIDOS;
SÃO PAULO;Guará;789,627;801,092;Cooperativa;CCMRFS - COOPERATIVA DE CATADORES DE MATERIAIS RECICLAVEIS FILHOS DO SOL;
MATO GROSSO;Cuiabá;556,598;662,825;Cooperativa;COCAMARP - COOPERATIVA DE CATADORES DE MATERIAIS RECICLÁVEIS DE RIO PARDO;
PERNAMBUCO;Abreu e Lima;1171,112;440,618;Cooperativa;COCARI - COOPERATIVA DE TRABALHO DOS RECICLADORES SOLIDÁRIOS EM DEFESA DO MEIO AMBIENTE DE CACHOEIRA DO SUL;
SERGIPE;Aracaju;1127,997;513,843;Cooperativa;COMARB - ASSOCIAÇÃO DOS TRABALHADORES COM MATERIAS RECICLÁVEIS DE BALDIM;
SERGIPE;Itabaianinha;1102,806;515,675;Cooperativa;CONSTRUIR - COOPERATIVA DE TRABALHO DE RECICLAGEM AMBIENTAL;
BAHIA;Guanambi;1053,554;559,291;Cooperativa;COOBAFS - COOPERATIVA DOS BADAMEIROS DE FEIRA DE SANTANA;
