MARANHÃO;IMPERATRIZ;813,35;334,219;Cooperativa;ASSOCIACAO DOS CATADORES DE MATERIAIS RECICLAVEIS DE IMPERATRIZ;-
MARANHÃO;Paço do Lumiar;915,445;264,45;Cooperativa;COOPCARE - COOPERATIVA DOS CATADORES DE MATERIAIS RECICLÁVEIS DE PAÇO DO LUMIAR;-
BAHIA;Catu;1085,681;576,301;Cooperativa;ASSOCIAÇÃO SÃO JUDAS - ASSOCIAÇÃO BENEFICENTE E COMUNIT. SÃO JUDAS DO BOM VIVER;-
BAHIA;Lauro de Freitas;1062,129;566,57;Cooperativa;CAELF - COOPERATIVA DE CATADORES E AGENTES ECOLÓGICOS DE LAURO DE FREITAS;-
BAHIA;Salvador;1071,737;576,301;Cooperativa;CAMAPET - COOPERATIVA DE COLETA SELETIVA, PROCESSAMENTO DE PLÁSTICO E PROTEÇÃO AMBIENTAL;-
BAHIA;Brumado;990,336;612,291;Cooperativa;CATAMARB - COOPERATIVA DE CATADORES DE MATERIAIS RECICLÁVEIS DE BRUMADO;-
BAHIA;Caculé;973,058;621,918;Cooperativa;CATANDO A VIDA - COOPERATIVA DE CATADORES CATANDO A VIDA LTDA;-
BAHIA;Feira de Santana;1102,806;538,07;Cooperativa;COOBAFS - COOPERATIVA DOS BADAMEIROS DE FEIRA DE SANTANA;-
BAHIA;Curaçá;1050,882;455,48;Cooperativa;COOPARC - COOPERATIVA DE TRABALHO EM COLETA SELETIVA E RECICLAGEM DE CURAÇÁ;-
BAHIA;Caetité;964,495;601,528;Cooperativa;COOPERCICLI - COOPERATIVA DE TRABALHO DE COLETA SELETIVA DOS CATADORES DE CAETITÉ;-
BAHIA;Juazeiro;1031,144;467,794;Cooperativa;COOPERFITZ - COOPERATIVA DE CATADORES DE MATERIAIS RECICLÁVEIS DE JUAZEIRO;-
BAHIA;Salvador;1082,246;536,331;Cooperativa;COOPERGUARY - COOPERATIVA DE TRABALHO DOS AGENTES ECOLÓGICOS DO PARAGUARY;-
BAHIA;Jequié;1038,603;607,247;Cooperativa;COOPERJE - COOPERATIVA DE CATADORES RECICLA JEQUIÉ;-
